8. العائلة (Die Familie),,,
"der, das, die, die (pl) = أداة التعريف (the)",,,
der (المذكر),das (المحايد),die (المؤنث),die (pl) - الجمع
Vater = الأب,Baby = الرضيع,Mutter = الأم,Eltern = الوالدان
Opa (Großvater) = الجد,Kind = الطفل,Oma (Großmutter) = الجدة,Großeltern = الأجداد
Bruder = الأخ,,Schwester = الأخت,Geschwister = الإخوة (أخ وأخت)
Sohn = الابن,,Tochter = الابنة,
Onkel = العم/الخال,,Tante = العمة/الخالة,
Freund = الصديق,,Freundin = الصديقة,Freunde = الأصدقاء
Hund = الكلب,,Katze = القطة,
